UserId; SessionType; dt in ms; HeadOrigin.x; HeadOrigin.y; HeadOrigin.z; HeadDir.x; HeadDir.y; HeadDir.z; EyeOrigin.x; EyeOrigin.y; EyeOrigin.z; EyeDir.x; EyeDir.y; EyeDir.z; EyeHitPos.x; EyeHitPos.y; EyeHitPos.z
tester; Session00; 9,3902; 0,08275698; -0,02659547; 0,5280472; 0; 0; 0; 0; 0; 0; 0; 0; 0; NaN; NaN; NaN
tester; Session00; 13,8557; 0,08275698; -0,02659547; 0,5280472; 0; 0; 0; 0; 0; 0; 0; 0; 0; NaN; NaN; NaN
tester; Session00; 16,8304; 0,08275698; -0,02659547; 0,5280472; 0; 0; 0; 0; 0; 0; 0; 0; 0; NaN; NaN; NaN
tester; Session00; 19,8385; 0,08275698; -0,02659547; 0,5280472; 0; 0; 0; 0; 0; 0; 0; 0; 0; NaN; NaN; NaN
tester; Session00; 22,2875; 0,08275698; -0,02659547; 0,5280472; 0; 0; 0; 0; 0; 0; 0; 0; 0; NaN; NaN; NaN
tester; Session00; 24,7666; 0,08275698; -0,02659547; 0,5280472; 0; 0; 0; 0; 0; 0; 0; 0; 0; NaN; NaN; NaN
tester; Session00; 27,7422; 0,08275698; -0,02659547; 0,5280472; 0; 0; 0; 0; 0; 0; 0; 0; 0; NaN; NaN; NaN
tester; Session00; 30,2225; 0,08275698; -0,02659547; 0,5280472; 0; 0; 0; 0; 0; 0; 0; 0; 0; NaN; NaN; NaN
tester; Session00; 32,7022; 0,08275698; -0,02659547; 0,5280472; 0; 0; 0; 0; 0; 0; 0; 0; 0; NaN; NaN; NaN
tester; Session00; 35,1831; 0,08275698; -0,02659547; 0,5280472; 0; 0; 0; 0; 0; 0; 0; 0; 0; NaN; NaN; NaN
tester; Session00; 38,1893; 0,08275698; -0,02659547; 0,5280472; 0; 0; 0; 0; 0; 0; 0; 0; 0; NaN; NaN; NaN
tester; Session00; 40,6384; 0,08275698; -0,02659547; 0,5280472; 0; 0; 0; 0; 0; 0; 0; 0; 0; NaN; NaN; NaN
