BrainRegion,X,Y,Z
MTG_L_4_1 (21c),-64.96,-29.907,-11.927
PrG_R_6_2 (6cdl),33.109,-6.735,56.53
SFG_R_7_1 (8m),6.862,16.375,54.214
IPL_L_6_6 (40rv),-53.582,-31.197,22.73
Cb_Vermis_X,0.781,-47.851,-35.317
Tha_L_8_8 (lPFtha),-11.357,-14.324,2.359
Hipp_L_2_1 (rHipp),-22.092,-13.753,-18.903
Cb_Left_VIIIa,-23.97,-57.856,-52.72
SFG_L_7_6 (9m),-4.689,35.844,38.681
Cb_Right_X,21.954,-37.13,-45.652
Cb_Left_Crus_II,-26.211,-74.603,-41.43
SFG_R_7_6 (9m),5.951,37.806,35.146
INS_R_6_2 (vIa),33.108,14.279,-12.951
STG_L_6_4 (22c),-62.319,-33.21,7.326
PCun_L_4_3 (dmPOS),-11.987,-66.432,25.23
PoG_R_4_1 (1/2/3ulhf),49.818,-14.409,44.237
sOcG_R_2_2 (lsOccG),28.606,-74.391,36.13
IFG_L_6_3 (45c),-52.568,22.985,11.187
FuG_R_3_2 (37mv),31.072,-61.788,-13.561
Amyg_R_2_1 (mAmyg),19.333,-2.597,-19.527
Cb_Right_Crus_I,36.676,-66.938,-30.829
PCun_L_4_2 (5m),-8.181,-47.414,57.296
PrG_L_6_5 (4tl),-52.058,0.164,7.761
OcG_L_4_3 (OPC),-17.62,-99.431,2.708
PCun_R_4_2 (5m),7.532,-47.067,58.493
Tha_L_8_1 (mPFtha),-6.565,-12.081,5.255
Tha_L_8_2 (mPMtha),-18.463,-13.284,3.528
Cb_Left_VIIb,-26.442,-66.084,-50.791
IFG_R_6_2 (IFS),47.83,34.778,13.387
sOcG_R_2_1 (msOccG),16.271,-85.072,34.421
IFG_L_6_5 (44op),-39.472,22.843,3.724
PoG_R_4_4 (1/2/3t),20.185,-32.642,69.44
FuG_R_3_1 (20rv),33.433,-14.594,-33.744
ITG_R_7_7 (20cv),53.777,-31.424,-25.716
Cb_Left_VI,-22.532,-58.202,-24.576
SFG_R_7_7 (10m),7.821,58.202,13.145
Cun_L_5_3 (cCunG),-5.562,-94.125,1.108
STG_L_6_6 (22r),-54.949,-3.273,-10.328
